FGA,FGM,PCT,3FGA,3FGM,3PCT,FTM,FTA,FTPCT,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,AVG1
63,28,0.444,27,13.00,0.481,14.00,17.00,0.824,11,21,32,32,27,16,16,0,8,83
66,25,0.379,24,7.00,0.292,3.00,3.00,1,18,22,40,36,19,11,18,2,7,71.5
54,23,0.426,12,2.00,0.167,14.00,17.00,0.824,5,19,24,32,20,4,18,4,6,68.3
70,27,0.386,20,7.00,0.35,13.00,21.00,0.619,14,15,29,31.3,16,12,8,5,10,69.8
55,19,0.345,21,5.00,0.238,17.00,24.00,0.708,12,24,36,32.2,21,5,15,3,2,67.8
72,25,0.347,15,5.00,0.333,13.00,18.00,0.722,20,29,49,35,14,7,12,2,5,67.8
56,21,0.375,20,3.00,0.15,13.00,15.00,0.867,8,22,30,34.3,17,9,13,4,7,66.4
57,17,0.298,22,5.00,0.227,12.00,19.00,0.632,7,23,30,33.8,9,9,10,4,2,64.5
57,26,0.456,21,8.00,0.381,9.00,10.00,0.9,13,21,34,33.8,17,14,15,2,2,65
62,23,0.371,25,7.00,0.28,13.00,19.00,0.684,6,21,27,33.1,11,9,12,4,7,65.1
72,33,0.458,28,5.00,0.179,13.00,19.00,0.684,13,23,36,33.4,23,10,10,2,11,66.8
56,13,0.232,34,8.00,0.235,11.00,18.00,0.611,7,18,25,32.7,18,9,17,3,7,65
68,18,0.265,24,3.00,0.125,6.00,8.00,0.75,12,24,36,32.9,8,6,15,2,6,63.5
64,37,0.578,29,14.00,0.483,18.00,24.00,0.75,9,21,30,32.7,20,25,6,2,6,66.5
56,12.00,0.214,29,4.00,0.138,15.00,25.00,0.6,12,25,37,33,13,6,12,5,8,64.9
60,18,0.3,16,3.00,0.188,24.00,35.00,0.686,15,24,39,33.4,21,10,8,8,6,64.8
61,27,0.443,29,11.00,0.379,18.00,29.00,0.621,15,21,36,33.5,24,15,8,1,12,65.9
55,20,0.364,16,4.00,0.25,16.00,19.00,0.842,8,25,33,33.5,14,8,14,1,5,65.6
57,28,0.491,26,9.00,0.346,4.00,8.00,0.5,13,23,36,33.6,12,18,16,3,6,65.7
59,21,0.356,21,5.00,0.238,12.00,15.00,0.8,17,15,32,33.6,13,9,18,4,9,65.4
60,24,0.4,22,6.00,0.273,10.00,15.00,0.667,12,28,40,33.9,14,15,7,7,7,65.3
61,31,0.508,19,6.00,0.316,7.00,12.00,0.583,9,20,29,33.6,20,11,11,2,5,65.8
70,30,0.429,22,7.00,0.318,14.00,23.00,0.609,15,25,40,33.9,16,16,8,4,6,66.4
58,24,0.414,27,7.00,0.259,13.00,19.00,0.684,12,31,43,34.3,15,15,15,5,4,66.5
50,22,0.44,12,4.00,0.333,19.00,23.00,0.826,6,18,24,33.9,11,7,13,2,7,66.5
49,19,0.388,20,7.00,0.35,18.00,27.00,0.667,7,28,35,33.9,21,8,13,3,4,66.4
63,24,0.381,31,9.00,0.29,8.00,12.00,0.667,12,21,33,33.9,15,15,7,1,2,66.3
52,28,0.538,18,4.00,0.556,22.00,27.00,0.815,5,27,32,33.8,20,14,17,4,7,67.1
59,23,0.39,17,5.00,0.294,19.00,28.00,0.679,15,22,37,33.9,17,3,15,6,6,67.2
72,34,0.472,25,9.00,0.36,17.00,25.00,0.68,10,25,35,34,19,18,6,2,5,68.1
66,22,0.333,21,7.00,0.333,20.00,25.00,0.8,15,21,36,34,20,8,9,0,10,68.2
68,30,0.441,16,4.00,0.25,17.00,28.00,0.607,18,13,31,33.9,19,10,9,0,7,68.6
67,28,0.418,35,11.00,0.314,15.00,23.00,0.652,11,27,38,34.1,16,14,10,4,4,69
49,22,0.449,26,8.00,0.308,25.00,32.00,0.781,5,20,25,33.8,21,15,9,5,7,69.2
61,28,0.459,14,2.00,0.143,11.00,14.00,0.786,14,14,28,33.6,24,11,12,2,8,69.2
64,24,0.375,29,8.00,0.276,19.00,22.00,0.864,14,21,35,33.7,21,16,6,2,8,69.4
54,22,0.407,19,6.00,0.316,21.00,26.00,0.808,7,13,20,33.3,16,6,11,1,12,69.4
72,31,0.431,27,10.00,0.37,7.00,13.00,0.538,14,21,35,33.3,18,11,7,3,4,69.7
61.81,29.486,0.477,25.162,9.08,0.36,15.19,20.86,0.728,11.89,25.757,37.649,37.6,18.378,16.3,9.3,6,6.8,83.2
